Commodity,Arrivals,Unit of Arrivals,Variety,Minimum Prices,Maximum Prices,Modal Prices,Unit of Price,Date,District,Category
Carrot,0.05,Tonnes,Pusakesar,5200,6500,6500,Rs/Quintal,2025-02-09,Velayuthampalayam,Vegetables
Chow Chow,0.03,Tonnes,Chow Chow,2000,2500,2500,Rs/Quintal,2025-02-09,Velayuthampalayam,Vegetables
Cluster beans,0.05,Tonnes,Cluster Beans,2800,3500,3500,Rs/Quintal,2025-02-09,Velayuthampalayam,Vegetables
Coriander(Leaves),0.05,Tonnes,I Sort,3200,4000,4000,Rs/Quintal,2025-02-09,Velayuthampalayam,Vegetables
Drumstick,0.02,Tonnes,Drumstick,7200,10000,10000,Rs/Quintal,2025-02-09,Velayuthampalayam,Vegetables
Ginger(Green),0.05,Tonnes,Green Ginger,5300,6000,6000,Rs/Quintal,2025-02-09,Velayuthampalayam,Vegetables
Green Avare (W),0.06,Tonnes,Avare (W),3200,4000,4000,Rs/Quintal,2025-02-09,Velayuthampalayam,Vegetables
Green Chilli,0.05,Tonnes,Green Chilly,2800,3500,3500,Rs/Quintal,2025-02-09,Velayuthampalayam,Vegetables
Lemon,0.14,Tonnes,Lemon,5300,6000,6000,Rs/Quintal,2025-02-09,Velayuthampalayam,Vegetables
Mint(Pudina),0.05,Tonnes,Mint(Pudina),4000,5000,5000,Rs/Quintal,2025-02-09,Velayuthampalayam,Vegetables
Onion,0.16,Tonnes,Bellary,3600,4500,4500,Rs/Quintal,2025-02-09,Velayuthampalayam,Vegetables
Onion Green,0.24,Tonnes,Onion Green,3600,4500,4500,Rs/Quintal,2025-02-09,Velayuthampalayam,Vegetables
Potato,0.09,Tonnes,(Red Nanital),3600,4500,4500,Rs/Quintal,2025-02-09,Velayuthampalayam,Vegetables
Pumpkin,0.03,Tonnes,Pumpkin,2000,2500,2500,Rs/Quintal,2025-02-09,Velayuthampalayam,Vegetables
Raddish,0.04,Tonnes,Raddish,2000,2500,2500,Rs/Quintal,2025-02-09,Velayuthampalayam,Vegetables
Ridgeguard(Tori),0.06,Tonnes,Ridgeguard(Tori),2400,3000,3000,Rs/Quintal,2025-02-09,Velayuthampalayam,Vegetables
Snakeguard,0.07,Tonnes,Snakeguard,1600,2000,2000,Rs/Quintal,2025-02-09,Velayuthampalayam,Vegetables
Tomato,0.25,Tonnes,Deshi,1000,1400,1400,Rs/Quintal,2025-02-09,Velayuthampalayam,Vegetables
Betal Leaves,0.05,Tonnes,Mysore,15000,15000,15000,Rs/Quintal,2025-02-09,Vellore,Vegetables
Marigold(Calcutta),0.03,Nos,Marigold(Calcutta),10000,12000,12000,Rs/No,2025-02-09,Vellore,Flowers
Rose(Local),0.01,Nos,Rose (Local),11000,12000,12000,Rs/No,2025-02-09,Vellore,Flowers
Tamarind Fruit,0.17,Tonnes,Tamarind Fruit,12000,13000,13000,Rs/Quintal,2025-02-09,Vellore,Flowers
Amla(Nelli Kai),0.12,Tonnes,Amla,8000,9000,9000,Rs/Quintal,2025-02-09,Vellore,Fruits
Apple,0.03,Tonnes,American,19000,19000,19000,Rs/Quintal,2025-02-09,Vellore,Fruits
Banana,3.7,Tonnes,Besrai,4000,6000,6000,Rs/Quintal,2025-02-09,Vellore,Fruits
Chikoos(Sapota),0.48,Tonnes,Sapota,2500,3000,3000,Rs/Quintal,2025-02-09,Vellore,Fruits
Grapes,0.02,Tonnes,Annabesahai,7000,7000,7000,Rs/Quintal,2025-02-09,Vellore,Fruits
Guava,1.4,Tonnes,Guava Alahabad,3500,4000,4000,Rs/Quintal,2025-02-09,Vellore,Fruits
Karbuja(Musk Melon),0.04,Tonnes,Karbhuja,3500,4000,4000,Rs/Quintal,2025-02-09,Vellore,Fruits
Mousambi(Sweet Lime),0.03,Tonnes,Mousambi,8000,8000,8000,Rs/Quintal,2025-02-09,Vellore,Fruits
Orange,0.02,Tonnes,Darjeeling,7000,7000,7000,Rs/Quintal,2025-02-09,Vellore,Fruits
Papaya,0.86,Tonnes,Papaya,3500,4000,4000,Rs/Quintal,2025-02-09,Vellore,Fruits
Pineapple,0.03,Tonnes,Pine Apple,4000,4000,4000,Rs/Quintal,2025-02-09,Vellore,Fruits
Pomegranate,0.03,Tonnes,Pomogranate,19000,19000,19000,Rs/Quintal,2025-02-09,Vellore,Fruits
Tender Coconut,2.1,Tonnes,Tender Coconut,2500,3000,3000,Rs/Quintal,2025-02-09,Vellore,Fruits
Groundnut,0.2,Tonnes,Big (With Shell),6000,6500,6500,Rs/Quintal,2025-02-09,Vellore,Fruits
Arhar (Tur/Red Gram)(Whole),0.03,Tonnes,Arhar (Whole),4000,4000,4000,Rs/Quintal,2025-02-09,Vellore,Pulses
Beans,0.46,Tonnes,Beans (Whole),3000,3500,3500,Rs/Quintal,2025-02-09,Vellore,Pulses
Green Peas,0.29,Tonnes,Green Peas,5000,5500,5500,Rs/Quintal,2025-02-09,Vellore,Pulses
Coconut,3.5,Tonnes,Coconut,2500,3000,3000,Rs/Quintal,2025-02-09,Vellore,Pulses
Garlic,0.3,Tonnes,Average,11000,11500,11500,Rs/Quintal,2025-02-09,Vellore,Pulses
Amaranthus,0.5,Tonnes,Amaranthus,2500,2500,2500,Rs/Quintal,2025-02-09,Vellore,Vegetables
Ashgourd,0.2,Tonnes,Gouard,1500,1500,1500,Rs/Quintal,2025-02-09,Vellore,Vegetables
Banana - Green,1,Tonnes,Banana - Green,2800,3000,3000,Rs/Quintal,2025-02-09,Vellore,Vegetables
Beetroot,0.31,Tonnes,Beetroot,1800,2000,2000,Rs/Quintal,2025-02-09,Vellore,Vegetables
Bhindi(Ladies Finger),0.9,Tonnes,Bhindi,3500,4000,4000,Rs/Quintal,2025-02-09,Vellore,Vegetables
Bitter gourd,0.15,Tonnes,Bitter Gourd,3000,3500,3500,Rs/Quintal,2025-02-09,Vellore,Vegetables
Bottle gourd,0.42,Tonnes,Bottle Gourd,1500,2000,2000,Rs/Quintal,2025-02-09,Vellore,Vegetables
Brinjal,1.98,Tonnes,Round,2000,2500,2500,Rs/Quintal,2025-02-09,Vellore,Vegetables
Cabbage,0.22,Tonnes,Cabbage,1400,1400,1400,Rs/Quintal,2025-02-09,Vellore,Vegetables
Capsicum,0.15,Tonnes,Capsicum,3000,3500,3500,Rs/Quintal,2025-02-09,Vellore,Vegetables
Carrot,0.34,Tonnes,Pusakesar,2000,2400,2400,Rs/Quintal,2025-02-09,Vellore,Vegetables
Cauliflower,0.15,Tonnes,Ranchi,1500,2000,2000,Rs/Quintal,2025-02-09,Vellore,Vegetables
Chow Chow,0.15,Tonnes,Chow Chow,1500,1500,1500,Rs/Quintal,2025-02-09,Vellore,Vegetables
Cluster beans,0.08,Tonnes,Cluster Beans,4000,4000,4000,Rs/Quintal,2025-02-09,Vellore,Vegetables
Colacasia,0.2,Tonnes,Colacasia,4000,4600,4600,Rs/Quintal,2025-02-09,Vellore,Vegetables
Coriander(Leaves),0.38,Tonnes,I Sort,5000,5000,5000,Rs/Quintal,2025-02-09,Vellore,Vegetables
Cowpea(Veg),0.14,Tonnes,Cowpea (Veg),3600,3600,3600,Rs/Quintal,2025-02-09,Vellore,Vegetables
Cucumbar(Kheera),0.14,Tonnes,Cucumbar,2500,3000,3000,Rs/Quintal,2025-02-09,Vellore,Vegetables
Drumstick,0.14,Tonnes,Drumstick,10000,11000,11000,Rs/Quintal,2025-02-09,Vellore,Vegetables
Elephant Yam (Suran),0.18,Tonnes,Elephant Yam (Suran),5000,6000,6000,Rs/Quintal,2025-02-09,Vellore,Vegetables
Ginger(Green),0.32,Tonnes,Green Ginger,4600,4600,4600,Rs/Quintal,2025-02-09,Vellore,Vegetables
Green Avare (W),0.43,Tonnes,Avare (W),3000,3400,3400,Rs/Quintal,2025-02-09,Vellore,Vegetables
Green Chilli,0.36,Tonnes,Green Chilly,3500,4000,4000,Rs/Quintal,2025-02-09,Vellore,Vegetables
Indian Beans (Seam),0.34,Tonnes,Indian Beans (Seam),4000,4400,4400,Rs/Quintal,2025-02-09,Vellore,Vegetables
Knool Khol,0.15,Tonnes,Knool Khol,1500,1500,1500,Rs/Quintal,2025-02-09,Vellore,Vegetables
Lemon,0.2,Tonnes,Lemon,5000,6000,6000,Rs/Quintal,2025-02-09,Vellore,Vegetables
Mango (Raw-Ripe),0.14,Tonnes,Mango - Raw-Ripe,10000,11000,11000,Rs/Quintal,2025-02-09,Vellore,Vegetables
Mashrooms,0.75,Tonnes,Mashrooms,2000,2500,2500,Rs/Quintal,2025-02-09,Vellore,Vegetables
Mint(Pudina),0.4,Tonnes,Mint(Pudina),5000,5000,5000,Rs/Quintal,2025-02-09,Vellore,Vegetables
Onion,1.3,Tonnes,Bellary,3600,4000,4000,Rs/Quintal,2025-02-09,Vellore,Vegetables
Onion Green,0.26,Tonnes,Onion Green,5000,5500,5500,Rs/Quintal,2025-02-09,Vellore,Vegetables
Potato,0.65,Tonnes,(Red Nanital),2500,2500,2500,Rs/Quintal,2025-02-09,Vellore,Vegetables
Pumpkin,0.18,Tonnes,Pumpkin,1500,1500,1500,Rs/Quintal,2025-02-09,Vellore,Vegetables
Raddish,0.4,Tonnes,Raddish,1200,1500,1500,Rs/Quintal,2025-02-09,Vellore,Vegetables
Ridgeguard(Tori),0.18,Tonnes,Ridgeguard(Tori),4000,4500,4500,Rs/Quintal,2025-02-09,Vellore,Vegetables
Snakeguard,0.15,Tonnes,Snakeguard,2000,2000,2000,Rs/Quintal,2025-02-09,Vellore,Vegetables
Sweet Potato,0.24,Tonnes,Hosur Red,2500,3000,3000,Rs/Quintal,2025-02-09,Vellore,Vegetables
Tapioca,0.18,Tonnes,Tapioca,3000,3000,3000,Rs/Quintal,2025-02-09,Vellore,Vegetables
Thondekai,0.07,Tonnes,Thondekai,3500,3500,3500,Rs/Quintal,2025-02-09,Vellore,Vegetables
Tomato,4,Tonnes,Deshi,1600,1800,1800,Rs/Quintal,2025-02-09,Vellore,Vegetables
Banana,0.42,Tonnes,Besrai,7000,8000,8000,Rs/Quintal,2025-02-09,Viralimalai,Fruits
Guava,0.06,Tonnes,Guava Alahabad,7000,8000
